Account,greed_minus_fear_pnl,trades,total_pnl,max_drawdown
0x430f09841d65beb3f27765503d0f850b8bce7713,412.3244114977083,1223,416541.872341,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,263.6421217922118,411,72846.484272,-14725.235409
0x6d6a4b953f202f8df5bed40692e7fd865318264a,202.79993721372412,972,108731.216772,-89.17810000000463
0x39cef799f8b69da1995852eea189df24eb5cae3c,180.4367437427709,3589,14456.919335999997,-165878.95836699998
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,161.9711340762428,1559,14900.443047,-869.1459780000005
0x271b280974205ca63b716753467d5a371de622ab,122.10709080529611,3807,-70436.191318,-132868.175087
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,80.91400619618852,14719,2143382.597689,-10680.586532
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,80.59550544009433,777,-31203.599985999997,-72378.920559
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,77.91137681448254,562,67845.619531,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,65.95410666662542,1590,429355.565915,-58219.75226099999
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,61.57547413558642,1911,65513.657906,-4968.487948000002
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,34.99645766701268,40172,836080.553077,-98726.73913599993
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,29.44646231234646,328,53496.247243,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,17.994989921399032,7271,47885.320514,-22505.512854
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,9.631653818538775,13301,132464.814554,-20849.88678999999
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8.066281451952534,8513,103343.716161,-19322.088606000005
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,5.921113161890852,15604,106302.875256,-8766.773926000002
0x8477e447846c758f5a675856001ea72298fd9cb5,2.490467290793579,14994,43917.008976,-34260.134815
0x2c229d22b100a7beb69122eed721cee9b24011dd,2.4411687584570885,3239,168658.004994,-3323.090682000009
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,-4.5734590104888895,534,21758.831753,-2663.777113
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-22.848967623257643,9893,379095.406711,-22517.28358399996
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,-25.49120245063321,3051,126578.942134,-621.545060000004
0x513b8629fe877bb581bf244e326a047b249c4ff1,-36.030207796013,12236,840422.555216,-84803.251682
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,-39.374728693801934,4355,677747.050643,-7577.27
0xbaaaf6571ab7d571043ff1e313a9609a10637864,-47.6196595046487,21192,940163.80622,-23.34103199999663
0x8170715b3b381dffb7062c0298972d4727a0a63b,-56.60749717403213,4601,-167621.12478100002,-443038.34972500004
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,-56.71541994216051,2641,220519.061853,-116595.66536300004
0x083384f897ee0f19899168e3b1bec365f52a9012,-59.433245845166525,3818,1600229.819979,-327934.104256
0x4f93fead39b70a1824f981a54d4e55b278e9f760,-61.939692247912475,7562,308975.869716,-113383.71529000001
0x420ab45e0bd8863569a5efbb9c05d91f40624641,-131.75865837418343,383,199505.592732,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,-184.1079929946389,1430,403011.504159,-12239.23366899998
0xb899e522b5715391ae1d4f137653e7906c5e2115,,4838,22488.500821000005,-72447.14201299999
